uid,city,gps,pictures,surface details,quantity,Notes
402190,manhattan,"40.76703, -73.98824",402190_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/ca5759b84fdd9448c09fb42f210c6ea3/8e82d23f),"ac-unit,small-building","5, 4",
247942,manhattan,"40.76695, -73.98803",247942_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/4954006ea42ac8aed0eb3a94274f3cd1/3f5679c8),"tarp,small-building,skylight","1, 1, 2",
344094,manhattan,"40.76659, -73.98787",344094_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/5744d518923bb376ca634146da89dafd/46c41e45),"any-ducts,air-vents,small-building,vegetation","1, 1, 1, 1",
622832,manhattan,"40.76645, -73.98776",622832_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/be850dda3951d4bbdd08f65c399e0eb6/9920cd74),small-rooftop-entrance,1,
225278,manhattan,"40.76642, -73.98768",225278_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/bd532f730fcf29b1b0687f7b078674d4/a1fc9ec6),small-rooftop-entrance,1,
515356,manhattan,"40.76638, -73.9876",515356_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/758c82ea2ba4566ec90eaa3cc0d5c0ed/66f83c89),small-rooftop-entrance,1,
848620,manhattan,"40.76635, -73.98753",848620_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/18c057184fd01a1ba11008203417b316/20547aec),small-rooftop-entrance,1,
770975,manhattan,"40.76632, -73.98745",770975_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/c9455f10b7f87f727b4f6ea17939bde2/4606c669),small-rooftop-entrance,1,
709642,manhattan,"40.7664, -73.9872",709642_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/87e3a5872c17961f53648bb13e45461c/c9ee3a54),small-rooftop-entrance,1,
563319,manhattan,"40.76626, -73.98725",563319_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/8c8c31ab69bd5d43b73c30b5e6fcfe8f/eac9fab2),small-rooftop-entrance,1,
